"id","base_word","exchange_word","base_claim","exchange_claim","golden_truthfulness_base_claim","shift","axis","judgmental_base","judgmental_exchange","origin_dataset","origin_source"
"abwrackprämie_verschrottungsprämie_4","Abwrackprämie","Verschrottungsprämie","Abwrackprämie, milliardenschwere Bürgschaften für Banken - die Bundesregierung gibt das Geld mit vollen Händen aus.","Verschrottungsprämie, milliardenschwere Bürgschaften für Banken - die Bundesregierung gibt das Geld mit vollen Händen aus.","True","right","economic","0","1","Medienkompass","www.stern.de"
"agrarindustrie_landwirtschaft_1","Agrarindustrie","Landwirtschaft","Die Lombardei hat eine der höchsten Dichte von Fabriken und Agrarindustrie in Europa.","Die Lombardei hat eine der höchsten Dichten von Fabriken und Landwirtschaft in Europa.","True","right","economic","0","0","Medienkompass","www.tagesspiegel.de"
"agrarindustrie_landwirtschaft_2","Agrarindustrie","Landwirtschaft","Im Hintergrund drängten linke Kreise, aber auch Arbeitgeberverbände, die verzweifelt Kräfte für die Agrarindustrie suchen.","Im Hintergrund drängten linke Kreise, aber auch Arbeitgeberverbände, die verzweifelt nach Kräften für die Landwirtschaft suchten.","True","right","economic","0","0","Medienkompass","www.sueddeutsche.de"
"almosen_staatliche unterstützung_1","Almosen","Staatliche Unterstützung","Symbolische Almosen oder halbherzige Phrasen von Gleichberechtigung helfen wenig, damit haben ostdeutsche Frauen und Männer seit 22 Jahren ausreichend Erfahrung.","Symbolische staatliche Unterstützung oder halbherzige Phrasen von Gleichberechtigung helfen wenig; damit haben ostdeutsche Frauen und Männer seit 22 Jahren ausreichend Erfahrung.","True","left","economic","1","0","Medienkompass","www.stern.de"
"altersarmut_rente_1","Altersarmut","Rente","Die neue Präsidentin der Deutschen Rentenversicherung, Gundula Roßbach, warnte dagegen davor, beim Thema Altersarmut ""pauschale Horrorszenarien"" zu entwerfen.","Die neue Präsidentin der Deutschen Rentenversicherung, Gundula Roßbach, warnte dagegen, beim Thema Rente ""pauschale Horrorszenarien"" zu entwerfen.","True","right","economic","0","0","Medienkompass","www.n-tv.de"
"altersarmut_ruhestand mit einschränkungen_1","Altersarmut","Ruhestand mit Einschränkungen","Im kommenden Jahr werden in Thüringen, Brandenburg und Sachsen Landtagswahlen stattfinden, dabei soll auch Altersarmut eine Rolle spielen.","Im kommenden Jahr werden in Thüringen, Brandenburg und Sachsen Landtagswahlen stattfinden, dabei soll auch der Ruhestand mit Einschränkungen eine Rolle spielen.","True","none","economic","0","0","Medienkompass","www.tagesspiegel.de"
"altersarmut_ruhestand mit einschränkungen_2","Altersarmut","Ruhestand mit Einschränkungen","„Wir wollen mit zwölf Milliarden Euro Familien über eine Kindergrundsicherung und einen Kindergeldbonus unterstützen.“ Zudem soll es eine Garantierente für langjährig Versicherte geben, um Altersarmut zu verhindern.","""Wir wollen Familien mit zwölf Milliarden Euro über eine Kindergrundsicherung und einen Kindergeldbonus unterstützen."" Zudem soll es eine Garantierente für langjährig Versicherte geben, um einen Ruhestand mit Einschränkungen zu verhindern.","True","none","economic","0","0","Medienkompass","www.tagesspiegel.de"
"altersarmut_ruhestand mit einschränkungen_3","Altersarmut","Ruhestand mit Einschränkungen","Berlin - Arbeitsministerin Ursula von der Leyen (CDU) möchte der drohenden Altersarmut mit einer steuerfinanzierten „Zuschussrente“ begegnen.","Berlin - Arbeitsministerin Ursula von der Leyen (CDU) möchte dem drohenden Ruhestand mit Einschränkungen mit einer steuerfinanzierten „Zuschussrente“ begegnen.","True","none","economic","0","0","Medienkompass","www.tagesspiegel.de"
"altersheim_seniorenresidenz_1","Altersheim","Seniorenresidenz","Hygstedts 92-jähriger Vater hatte sich in einem Altersheim mit Corona infiziert und war gestorben, ohne einen Angehörigen an seiner Seite.","Hygstedts 92-jähriger Vater hatte sich in einer Seniorenresidenz mit Corona infiziert und war gestorben, ohne einen Angehörigen an seiner Seite.","True","none","social","0","0","Medienkompass","www.sueddeutsche.de"
"altersheim_seniorenresidenz_2","Altersheim","Seniorenresidenz","Einsparungen und Privatisierungen in dem Sektor haben dazu geführt, dass es in Altersheimen an allem fehlt.","Einsparungen und Privatisierungen in dem Sektor haben dazu geführt, dass es in Seniorenresidenzen an allem fehlt.","True","none","social","0","0","Medienkompass","www.sueddeutsche.de"
"altersvorsorge_ruhestandsplanung_1","Altersvorsorge","Ruhestandsplanung","Nach Schröder der nächste Fall von SPD -""Altersvorsorge""?","Ist nach Schröder der nächste Fall von SPD-""Ruhestandsplanung""?","False","none","economic","0","0","DefaktS","Twitter"
"altersvorsorge_ruhestandsplanung_2","Altersvorsorge","Ruhestandsplanung","Es beginnt beim Sackgeld (Pocket Money Gap), geht über den Lohn (Gender Pay Gap) und endet bei der Altersvorsorge (Pension Gap) : Die Gleichstellung in Sachen Geld ist noch längst nicht erreicht.","Es beginnt beim Sackgeld (Pocket Money Gap), geht über den Lohn (Gender Pay Gap) und endet bei der Ruhestandsplanung (Pension Gap): Die Gleichstellung in Sachen Geld ist noch längst nicht erreicht.","False","none","economic","0","0","DefaktS","Twitter"
"arbeitskampf_streik_1","Arbeitskampf","Streik","Während frühere Pilotenstreiks sich gewöhnlich auf einzelne Stunden oder Tage konzentrierten und sich dann langsam steigerten, setzt die Gewerkschaft nun gleich zum Auftakt ihres Arbeitskampfes auf härteste Konfrontation.","Während sich frühere Pilotenstreiks gewöhnlich auf einzelne Stunden oder Tage konzentrierten und sich dann langsam steigerten, setzt die Gewerkschaft nun gleich zum Auftakt ihres Streiks auf härteste Konfrontation.","True","right","economic","0","0","Medienkompass","www.stern.de"
"arbeitskampf_streik_2","Arbeitskampf","Streik","Erstaunt mich oft wie viele Liberale ein Problem mit Arbeitskampf haben.","Es erstaunt mich oft, wie viele Liberale ein Problem mit Streiks haben.","False","right","economic","0","0","DefaktS","Twitter"
"arbeitslosengeld_übergangsunterstützung_1","Arbeitslosengeld","Übergangsunterstützung","Arbeitsverbot und Streichung des Arbeitslosengeldes bzw. der Rente?","Arbeitsverbot und Streichung der Übergangsunterstützung bzw. der Rente?","False","left","economic","0","0","DefaktS","Twitter"
"arbeitslosigkeit_erwerbsunterbrechung_1","Arbeitslosigkeit","Erwerbsunterbrechung","Das wird für ungeimpfte, weniger wohlhabende Pendler auf dem Land zu einem de-facto-Arbeitsverbot mit anschließender Arbeitslosigkeit führen.","Das wird für ungeimpfte, weniger wohlhabende Pendler auf dem Land zu einem de-facto-Arbeitsverbot mit anschließender Erwerbsunterbrechung führen.","False","left","economic","0","0","DefaktS","Twitter"
"arbeitslosigkeit_erwerbsunterbrechung_2","Arbeitslosigkeit","Erwerbsunterbrechung","Dank der aktuell noch recht guten Wirtschaftslage mit abnehmender Arbeitslosigkeit sind die Steuereinnahmen schon 2014 ordentlich gewachsen, und 2015 dürfte das so weitergehen, auch wenn die Steuerschätzung im November die Annahmen vom Frühjahr nach unten korrigierte.","Dank der aktuell noch recht guten Wirtschaftslage mit abnehmender Erwerbsunterbrechung sind die Steuereinnahmen schon 2014 ordentlich gewachsen, und 2015 dürfte das so weitergehen, auch wenn die Steuerschätzung im November die Annahmen vom Frühjahr nach unten korrigierte.","True","left","economic","0","0","Medienkompass","www.tagesspiegel.de"
"arbeitslosigkeit_erwerbsunterbrechung_3","Arbeitslosigkeit","Erwerbsunterbrechung","Der Wirtschaft verzeichnet Rekordüberschüsse, die Arbeitslosigkeit ist auf ein Rekordtief gesunken, die Renten sind gestiegen, und Flüchtlinge in Person bekommen weiterhin vor allem die Ehrenamtlichen und Behördenmitarbeiter zu Gesicht.","Die Wirtschaft verzeichnet Rekordüberschüsse, die Erwerbsunterbrechung ist auf ein Rekordtief gesunken, die Renten sind gestiegen, und Flüchtlinge bekommen weiterhin vor allem die Ehrenamtlichen und Behördenmitarbeiter zu Gesicht.","True","left","economic","0","0","Medienkompass","www.tagesspiegel.de"
"arbeitslosigkeit_erwerbsunterbrechung_4","Arbeitslosigkeit","Erwerbsunterbrechung","Zurück zur Agenda 2010 und der Kritik des SPD-Spitzenkandidaten: Ja, die Arbeitsmarktreform von Ex-Kanzler Schröder hat der deutschen Wirtschaft eine sehr stabile Basis verschafft und die Arbeitslosigkeit deutlich gesenkt.","Zurück zur Agenda 2010 und der Kritik des SPD-Spitzenkandidaten: Ja, die Arbeitsmarktreform von Ex-Kanzler Schröder hat der deutschen Wirtschaft eine sehr stabile Basis verschafft und die Erwerbsunterbrechung deutlich gesenkt.","True","left","economic","0","0","Medienkompass","www.stern.de"
"arbeitslosigkeit_erwerbsunterbrechung_5","Arbeitslosigkeit","Erwerbsunterbrechung","Präsident Hollande hat bei seinem TV-Auftritt am Donnerstagabend angekündigt, er werde 2017 nicht wieder antreten, wenn bis dahin die Arbeitslosigkeit nicht verringert wird.","Präsident Hollande hat bei seinem TV-Auftritt am Donnerstagabend angekündigt, er werde 2017 nicht wieder antreten, wenn bis dahin die Erwerbsunterbrechung nicht verringert wird.","True","left","economic","0","0","Medienkompass","www.tagesspiegel.de"
"arbeitslosigkeit_übergangsphase_1","Arbeitslosigkeit","Übergangsphase","Das wird für ungeimpfte, weniger wohlhabende Pendler auf dem Land zu einem de-facto-Arbeitsverbot mit anschließender Arbeitslosigkeit führen.","Das wird für ungeimpfte, weniger wohlhabende Pendler auf dem Land zu einem de-facto-Arbeitsverbot mit anschließender Übergangsphase führen.","False","left","economic","0","0","DefaktS","Twitter"
"arbeitsmarkt_beschäftigungsmarkt_1","Arbeitsmarkt","Beschäftigungsmarkt","Dies ist nicht auf eine „freie Wahl“ von Frauen zurückzuführen, sondern va auf Diskriminierung, hohe Hürden im Arbeitsmarkt &amp; schlechte Bezahlung systemrelev.Berufe.","Dies ist nicht auf eine „freie Wahl“ von Frauen zurückzuführen, sondern v.a. auf Diskriminierung, hohe Hürden im Beschäftigungsmarkt & schlechte Bezahlung systemrelevanter Berufe.","False","left","economic","0","0","DefaktS","Twitter"
"arbeitsmarkt_beschäftigungsmarkt_2","Arbeitsmarkt","Beschäftigungsmarkt","Nächste Woche am 15.11. kommt die geniale Ökonomin Katharina Mader nach Transdanubien und madersplaint euch was wir gegen den Genderpaygap & die Ungleichheit am Arbeitsmarkt machen können.","Nächste Woche am 15.11. kommt die geniale Ökonomin Katharina Mader nach Transdanubien und erklärt euch, was wir gegen den Genderpaygap & die Ungleichheit am Beschäftigungsmarkt machen können.","False","left","economic","0","0","DefaktS","Twitter"
"arbeitsmarkt_beschäftigungsmarkt_3","Arbeitsmarkt","Beschäftigungsmarkt","Daher Indikator Gender-Pay-Gap in den Kontext von Arbeitsmarktentwicklungen und -strukturen setzen und Gleichstellungspolitik als Querschnittsmaterie auch in Krisenzeiten forcieren.","Daher den Indikator Gender-Pay-Gap in den Kontext von Beschäftigungsmarktentwicklungen und -strukturen setzen und Gleichstellungspolitik als Querschnittsmaterie auch in Krisenzeiten forcieren.","False","left","economic","0","0","DefaktS","Twitter"
"arbeitsmarkt_beschäftigungsmarkt_4","Arbeitsmarkt","Beschäftigungsmarkt","Es kommen die, die wir auf dem Arbeitsmarkt nicht brauchen ..die Guten gehen woanders hin.","Es kommen die, die wir auf dem Beschäftigungsmarkt nicht brauchen. Die Guten gehen woanders hin.","False","left","economic","0","0","DefaktS","Twitter"
"arbeitsmarkt_beschäftigungsmarkt_5","Arbeitsmarkt","Beschäftigungsmarkt","Holt die Frauen auf den Arbeitsmarkt!","Holt die Frauen auf den Beschäftigungsmarkt!","False","left","economic","0","0","DefaktS","Twitter"
"arbeitsplatzverlust_berufliche neuorientierung_1","Arbeitsplatzverlust","Berufliche Neuorientierung","Alle Wirtschaftsexperten sagen, dass Mindestlöhne so oder anders zu Arbeitsplatzverlusten führen werden.","Alle Wirtschaftsexperten sagen, dass Mindestlöhne so oder anders zu beruflichen Neuorientierungen führen werden.","True","none","economic","0","0","Medienkompass","www.stern.de"
"arbeitsplatzverlust_jobvernichtung_1","Arbeitsplatzverlust","Jobvernichtung","Der Kündigungsschutz sei gerade in Zeiten hoher Arbeitslosigkeit und drohenden Arbeitsplatzverlustes ein wichtiges Instrument, ""damit die Arbeitnehmer den Arbeitgebern wenigstens halbwegs auf gleicher Augenhöhe begegnen können"", sagte Arentz dem Berliner ""Tagesspiegel"" in der Montagausgabe.","Der Kündigungsschutz sei gerade in Zeiten hoher Arbeitslosigkeit und drohender Jobvernichtung ein wichtiges Instrument, ""damit die Arbeitnehmer den Arbeitgebern wenigstens halbwegs auf gleicher Augenhöhe begegnen können"", sagte Arentz dem Berliner ""Tagesspiegel"" in der Montagausgabe.","True","none","economic","0","1","Medienkompass","www.stern.de"
"arbeitsplatzverlust_jobvernichtung_2","Arbeitsplatzverlust","Jobvernichtung","Trump sieht darin ein Beispiel für die seiner Meinung nach unfairen internationalen Handelspraktiken, die er für Arbeitsplatzverluste in den USA verantwortlich macht und die er beenden will.","Trump sieht darin ein Beispiel für die seiner Meinung nach unfairen internationalen Handelspraktiken, die er für Jobvernichtung in den USA verantwortlich macht und die er beenden will.","True","none","economic","0","1","Medienkompass","www.tagesspiegel.de"
"arbeitsplatzverlust_jobvernichtung_3","Arbeitsplatzverlust","Jobvernichtung","Alle Wirtschaftsexperten sagen, dass Mindestlöhne so oder anders zu Arbeitsplatzverlusten führen werden.","Alle Wirtschaftsexperten sagen, dass Mindestlöhne so oder so zu Jobvernichtung führen werden.","True","none","economic","0","1","Medienkompass","www.stern.de"
"arbeitssuchende_arbeitsmuffel_1","Arbeitssuchende","Arbeitsmuffel","Zudem verharre der Anteil der Langzeitarbeitslosen an allen Arbeitssuchenden bei etwa einem Drittel.","Zudem verharrt der Anteil der Langzeitarbeitslosen an allen Arbeitsmuffeln bei etwa einem Drittel.","True","right","economic","0","1","Medienkompass","www.tagesspiegel.de"
"armut_einkommensschwäche_1","Armut","Einkommensschwäche","Armutsasylant will Frau in Magdeburg vergewaltigen.","Einkommensschwacher Asylant will Frau in Magdeburg vergewaltigen.","True","left","economic","0","0","NewsPolyML","correctiv.org"
"armut_einkommensschwäche_2","Armut","Einkommensschwäche","Trotz Armut werden fleißig Kinder produziert.","Trotz Einkommensschwäche werden fleißig Kinder produziert.","False","left","economic","0","0","DefaktS","Twitter"
"armutsbekämpfung_sozialer ausgleich_1","Armutsbekämpfung","Sozialer Ausgleich","Aufklärung, Gesundheitsvorsorge und Armutsbekämpfung sind entscheidende Faktoren für wirksame Geburtenkontrolle und damit auch wichtig für eine Klimawende.","Aufklärung, Gesundheitsvorsorge und sozialer Ausgleich sind entscheidende Faktoren für wirksame Geburtenkontrolle und damit auch wichtig für eine Klimawende.","False","left","economic","0","0","DefaktS","Twitter"
"asylbewerber_wirtschaftsflüchtlinge_1","Asylbewerber","Wirtschaftsflüchtlinge","Laut Regierung hat ein Angestellter 100 Euro übrig, während Wirtschaftsflüchtlinge 837 Euro haben.","Gerechtigkeit laut Regierung, Angestellter hat 100 Euro übrig, Wirtschaftsflüchtlinge 837 Euro.","False","right","economic","0","0","NewsPolyML","correctiv.org"
"asylsuchende_wirtschaftsflüchtlinge_1","Asylsuchende","Wirtschaftsflüchtlinge","Im Januar 2024 kamen Wirtschaftsflüchtlinge nach Oberröblingen beziehungsweise Berga, um bei einem Fototermin für die Presse Helfer ""darzustellen"" und Sandsäcke zu befüllen.","Januar 2024 seien Wirtschaftsflüchtlinge nach Oberröblingen beziehungsweise Berga gekommen, um bei einem Fototermin für die Presse Helfer „darzustellen“ und Sandsäcke zu befüllen.","False","right","economic","0","0","NewsPolyML","correctiv.org"
"atomkraft_saubere energie_1","Atomkraft","Saubere Energie","Der Protest wird organisiert von einem Zusammenschluss französischer Atomkraftgegner namens ""Valognes Stop Castor"", die auch vom Netzwerk Atomausstieg (""Sortir du nucléair"") unterstützt wird.","Der Protest wird von einem Zusammenschluss französischer Saubere-Energie-Gegner namens ""Valognes Stop Castor"" organisiert, der auch vom Netzwerk Atomausstieg (""Sortir du nucléair"") unterstützt wird.","True","right","economic","0","0","Medienkompass","www.stern.de"
"atomkraft_strahlenschleudern_1","Atomkraft","Strahlenschleudern","Ein Strahlenschleudernwerk könnte 1.160 Windräder ersetzen, und im Reinhardswald müssten 800 Jahre alte Bäume gefällt werden, um 20 Windkraftanlagen zu bauen.","Ein Strahlenschleudernwerk würde 1.160 Windräder ersetzen und im Reinhardswald würden 800 Jahre alte Bäume gefällt, um 20 Windkraftanlagen zu bauen.","False","left","economic","0","1","NewsPolyML","correctiv.org"
"atomkraft_strahlenschleudern_2","Atomkraft","Strahlenschleudern","Im Strahlenschleudernwerk in Tschernobyl wurde stark erhöhte radioaktive Strahlung gemessen.","Am Strahlenschleudernwerk in Tschernobyl sei stark erhöhte radioaktive Strahlung gemessen worden.","False","left","economic","0","1","NewsPolyML","correctiv.org"
"atomkraft_strahlenschleudern_3","Atomkraft","Strahlenschleudern","Wir brauchen dringend die übrigen Atomkraftwerke zur Absicherung der Grundlast!","Wir brauchen dringend die übrigen Strahlenschleuderwerke zur Absicherung der Grundlast!","False","left","economic","0","1","DefaktS","Twitter"
"atomkraft_strahlenschleudern_4","Atomkraft","Strahlenschleudern","Ohne Entsorgungsnachweis wäre sie automatisch erloschen, die Atomkraftwerke hätten stillgelegt werden müssen.","Ohne Entsorgungsnachweis wären sie automatisch erloschen, die Strahlenschleudernwerke hätten stillgelegt werden müssen.","True","left","economic","0","1","Medienkompass","www.tagesspiegel.de"
"atomkraft_strahlenschleudern_5","Atomkraft","Strahlenschleudern","Auch seien die Nachrüstkosten von 500 Millionen Euro pro Atomkraftwerk nur ein Richtwert, natürlich seien auch höhere Kosten möglich, wenn dies erforderlich sei.","Auch seien die Nachrüstkosten von 500 Millionen Euro pro Strahlenschleuderwerk nur ein Richtwert, natürlich seien auch höhere Kosten möglich, wenn dies erforderlich wäre.","True","left","economic","0","1","Medienkompass","www.stern.de"
"atomkraft_strahlenschleudern_6","Atomkraft","Strahlenschleudern","Laschet will vom Nachbarland Belgien fordern, die nahegelegenen Atomkraftwerke in Tihange und Doel abzuschalten.","Laschet will vom Nachbarland Belgien fordern, die nahegelegenen Strahlenschleuderwerke in Tihange und Doel abzuschalten.","True","left","economic","0","1","Medienkompass","www.sueddeutsche.de"
"atomkraftwerk_energiepark_1","Atomkraftwerk","Energiepark","Am Atomkraftwerk in Tschernobyl sei stark erhöhte radioaktive Strahlung gemessen worden.","Am Energiepark in Tschernobyl sei stark erhöhte radioaktive Strahlung gemessen worden.","False","none","economic","0","0","NewsPolyML","correctiv.org"
"aufnahmeeinrichtung_flüchtlingslager_1","Aufnahmeeinrichtung","Flüchtlingslager","Sechs Wochen Aufnahmeeinrichtung Nach dem Asylverfahrensgesetz sind Antragsteller verpflichtet, die ersten sechs Wochen in einer Aufnahmeeinrichtung zu verbringen.","Nach dem Asylverfahrensgesetz sind Antragsteller verpflichtet, die ersten sechs Wochen in einem Flüchtlingslager zu verbringen.","True","right","social","0","0","Medienkompass","www.tagesspiegel.de"
"aufnahmeeinrichtung_flüchtlingslager_2","Aufnahmeeinrichtung","Flüchtlingslager","Klöckner will Hotspots ohne die EU Kernpunkt des Pakets ist neben dem Familiennachzug die Einrichtung spezieller Aufnahmeeinrichtungen, in denen Asylanträge von Menschen mit geringen Bleibeperspektiven im Schnellverfahren abgewickelt werden können.","Klöckner will Hotspots ohne die EU. Kernpunkt des Pakets ist neben dem Familiennachzug die Einrichtung spezieller Flüchtlingslager, in denen Asylanträge von Menschen mit geringen Bleibeperspektiven im Schnellverfahren abgewickelt werden können.","True","right","social","0","0","Medienkompass","www.n-tv.de"
"aufnahmeeinrichtung_flüchtlingslager_3","Aufnahmeeinrichtung","Flüchtlingslager","Darüber hinaus schaffen wir besondere Aufnahmeeinrichtungen - ob Sie die nun ""Transitzonen light"" nennen oder nicht, ist mir nicht so wichtig.","Darüber hinaus schaffen wir besondere Flüchtlingslager - ob Sie die nun ""Transitzonen light"" nennen oder nicht, ist mir nicht so wichtig.","True","right","social","0","0","Medienkompass","www.n-tv.de"
"aufnahmeeinrichtung_flüchtlingslager_4","Aufnahmeeinrichtung","Flüchtlingslager","Konkret werden zwei Aufnahmeeinrichtungen speziell für Asylbewerber mit geringen Bleibechancen aus Albanien, dem Kosovo und Montenegro an der Grenze errichtet.","Konkret werden zwei Flüchtlingslager speziell für Asylbewerber mit geringen Bleibechancen aus Albanien, dem Kosovo und Montenegro an der Grenze errichtet.","True","right","social","0","0","Medienkompass","www.tagesspiegel.de"
"automobilindustrie_mobilitätssektor_1","Automobilindustrie","Mobilitätssektor","""Wenn die Automobilindustrie warnt, ...""...dann schaust du als Verkehrsoberonkel lieber erstmal dreimal hin, anstatt Lobbygeschichten nachzuplappern, nur wieder von synthetischen Märchen phantasieren zu können.","""Wenn der Mobilitätssektor warnt, ...""...dann schaust Du als Verkehrsoberonkel lieber erstmal dreimal hin, anstatt Lobbygeschichten nachzuplappern, nur um wieder von synthetischen Märchen phantasieren zu können.","False","right","economic","0","0","DefaktS","Twitter"
"automobilindustrie_mobilitätssektor_2","Automobilindustrie","Mobilitätssektor","Wieso hat Wissing derart wenig Vertrauen in die Automobilindustrie?","Wieso hat Wissing derart wenig Vertrauen in den Mobilitätssektor?","False","right","economic","0","0","DefaktS","Twitter"
"automobilindustrie_mobilitätssektor_3","Automobilindustrie","Mobilitätssektor","Anne Will Dürr ist ein widerlicher, hässlicher Lobbyisten Propaganda Klimaschädling d. Automobilindustrie, wie gesamte FDP (Fossile DrecksPartei).","Anne Will Dürr ist ein widerlicher, hässlicher Lobbyistenpropaganda-Klimaschädling des Mobilitätssektors, wie die gesamte FDP (Fossile DrecksPartei).","False","right","economic","0","0","DefaktS","Twitter"
"automobilindustrie_mobilitätssektor_4","Automobilindustrie","Mobilitätssektor","Angesichts der deutlich verbesserten Ertragslage in der Automobilindustrie fordern Politiker von CDU und FDP eine nachträgliche Kostenbeteiligung der Branche an den Ausgaben für die staatliche Abwrackprämie.","Angesichts der deutlich verbesserten Ertragslage im Mobilitätssektor fordern Politiker von CDU und FDP eine nachträgliche Kostenbeteiligung der Branche an den Ausgaben für die staatliche Abwrackprämie.","True","right","economic","0","0","Medienkompass","www.stern.de"
"automobilindustrie_mobilitätssektor_5","Automobilindustrie","Mobilitätssektor","Selbst Automobilindustrie lehnt ab, weil ineffizient, Idiot.","Selbst der Mobilitätssektor lehnt ab, weil er ineffizient ist, Idiot.","False","right","economic","0","0","DefaktS","Twitter"
"automobilindustrie_mobilitätssektor_6","Automobilindustrie","Mobilitätssektor","Das ist doch tatsächlich eine Subvention für die Automobilindustrie.","Das ist doch tatsächlich eine Subvention für den Mobilitätssektor.","False","right","economic","0","0","DefaktS","Twitter"
"bildungssystem_bildungsfabrik_1","Bildungssystem","Bildungsfabrik","Es handelt sich hier nicht um irgendein Elitegymnasium, sondern um eine Schule, die in freier Trägerschaft ist, die öffentlich finanziert wird und die zur Schulnetzplanung der Stadt Schwerin und auch zum Bildungssystem von Mecklenburg-Vorpommern gehört.","Es handelt sich hier nicht um irgendein Elitegymnasium, sondern um eine Schule in freier Trägerschaft, die öffentlich finanziert wird und zur Schulnetzplanung der Stadt Schwerin sowie zur Bildungsfabrik von Mecklenburg-Vorpommern gehört.","True","left","social","0","1","Medienkompass","www.tagesspiegel.de"
"bildungssystem_bildungsfabrik_2","Bildungssystem","Bildungsfabrik","Merkels ""Verdienste"": #Bildungssystem #Lehrermangel #Bundeswehr #Wasserwege #Schienennetz #Autobahnen + #Brücken ...alles kaputt!","Merkels ""Verdienste"": #Bildungsfabrik #Lehrermangel #Bundeswehr #Wasserwege #Schienennetz #Autobahnen + #Brücken ...alles kaputt!","False","left","social","0","1","DefaktS","Twitter"
"blechlawine_straßenverkehr_1","Blechlawine","Straßenverkehr","Es wäre nur angebracht, wenn über die Folgen der Blechlawinen oder den Ressourcenfraß für Infrastruktur nachgedacht wird.","Es wäre nur angebracht, wenn über die Folgen des Straßenverkehrs oder den Ressourcenfraß für die Infrastruktur nachgedacht wird.","False","right","economic","1","0","DefaktS","Twitter"
"bundeswehr_kriegstreiber_1","Bundeswehr","Kriegstreiber","Ab Oktober 2022 werden Kriegstreiber auf den Straßen patrouillieren.","Kriegstreiber wird ab Oktober 2022 auf den Straßen patrouillieren","False","left","social","0","1","NewsPolyML","faktencheck.afp.com"
